8;;;22;"B. Mariae Virginis Reginae";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;23;"S. Rosae de Lima, virginis";"Mémoire facultative";;;;;;;;;;;;
8;;;24;"S. Bartholomaei, apostoli";"Fête";"Rouge";7;;;;;;;;;;
8;;;25;"S. Ludovici";"Mémoire facultative";;;;;;;;;;;;
8;;;25;"S. Ioseph de Calasanz, presbyteri";"Mémoire facultative";;;;;;;;;;;;
8;;;26;;;;;;;;;;;;;;
8;;;27;"S. Monicae";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;28;"S. Augustini, episcopi et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;29;"In Passione S. Ioannis Baptistae, martyris";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
8;;;30;;;;;;;;;;;;;;
8;;;31;;;;;;;;;;;;;;
9;;;1;;;;;;;;;;;;;;
9;;;2;;;;;;;;;;;;;;
9;;;3;"S. Gregorii Magni, papae et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
9;;;4;;;;;;;;;;;;;;
9;;;5;;;;;;;;;;;;;;
9;;;6;;;;;;;;;;;;;;
9;;;7;;;;;;;;;;;;;;
9;;;8;"In Nativitate B. Mariae Virginis";"Fête";"Blanc";7;;;;;;;;;;
9;;;9;"S. Petri Claver, presbyteri";"Mémoire facultative";;;;;;;;;;;;
9;;;10;;;;;;;;;;;;;;
9;;;11;;;;;;;;;;;;;;
9;;;12;"Ss.mi Nominis Mariae";;;;;;;;;;;;;
9;;;13;"S. Ioannis Chrysostomi, episcopi et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
9;;;14;"IN EXALTATIONE SANCTAE CRUCIS";"Fête";"Rouge";5;;;;;;;;;;
9;;;15;"B. Mariae Virginis Perdolentis";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
9;;;16;"Ss. Cornelii, papae, et Cypriani, episcopi, martyrum";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
9;;;17;"S. Roberti Bellarmino, episcopi et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
9;;;18;;;;;;;;;;;;;;
9;;;19;"S. Ianuarii, episcopi et martyris";;;;;;;;;;;;;
9;;;20;"Ss. Andreae Kim Tae-gon et Pauli Chong Ha-sang et sociorum, martyrum";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
9;;;21;"S. Matthaei, apostoli et evangelistae";"Fête";"Rouge";10;;;;;;;;;;
9;;;22;;;;;;;;;;;;;;
9;;;23;;;;;;;;;;;;;;
9;;;24;;;;;;;;;;;;;;
9;;;25;;;;;;;;;;;;;;
9;;;26;"Ss. Cosmae et Damiani, martyrum";"Mémoire facultative";;;;;;;;;;;;
9;;;27;"S. Vincentii de Paul, presbyteri";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
